WorkTime,BoardID,Barcode,Result,NGType,TackTime,DefectCount,UserOKCount,WarnCount,ArrayDefectCount,ArrayUserokCount,ArrayWarnCount,ArrayGoodCount,ParticleDefect,ParticleUserOK,ParticleWarn,Squeegee,LotNo,OperatorID,LineNo,BarcodeBadmark,Vendor,JigCode,cpk_volume,cpk_area,cpk_height,cpk_offsetx,cpk_offsety,cp_volume,cp_area,cp_height,cp_offsetx,cp_offsety,usl_volume,lsl_volume,usl_area,lsl_area,usl_height,lsl_height,usl_offset,avg_volume,min_volume,max_volume,avg_area,min_area,max_area,avg_height,min_height,max_height,avg_offsetx,min_offsetx,max_offsetx,avg_offsety,min_offsety,max_offsety,Gram,sigma_volume,sigma_area,sigma_height,sigma_offsetx,sigma_offsety,mask_theta,mask_offsetx,ShrinkX,ShrinkY,Vendor_Pos,pathname,Warpage,WarpageParam,ConfirmID,ConfirmName,Comment
2023-05-31 14:10:31,27020,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,1.7972,3.1193,-0.4886,-1824.3658,-2184.7937,2.1575902256141,7.53826797377445,1.21733650382102,-912.061635063547,-1091.93528626757,175,40,300,50,150,50,25,96.2246,73.6397,119.96,101.724,89.5865,117.477,170.0664,131.194,205.203,18.35501,0.13478,41.3293,3.876758,-16.8421,23.9135,,10.4283,5.527353,13.69109,9.13224,7.627893,,,,,,,,,,,
2023-05-31 14:10:55,27021,,Good,Missing,5.0,0,,0,0,,0,20,,,,Rear,,,SMT01,,G220N0P0,,2.1705,3.4992,-0.6227,-2199.7794,-1248.6524,2.43372841987493,8.08144557202946,1.34612994828976,-1099.74805895635,-623.549993478036,175,40,300,50,150,50,25,100.1999,78.3235,121.005,104.1243,92.0146,116.055,173.1301,135.376,200.657,18.56145,0.311142,30.8298,-37.21193,-73.8737,-3.75023,,9.245074,5.155843,12.38117,7.573704,13.35766,,,,,,,,,,,
2023-05-31 14:11:19,27022,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,1.9804,3.6798,-0.4676,-1768.5419,-1903.1421,2.27893791441232,8.20720435902537,1.35341503366423,-884.177917934446,-951.181896081164,175,40,300,50,150,50,25,98.65843,71.1666,123.19,106.0452,93.2738,118.056,167.275,132.229,197.576,19.74291,0.0733376,30.9103,4.553023,-16.022,27.4595,,9.87302,5.07684,12.31453,9.420238,8.756649,,,,,,,,,,,
