WorkTime,BoardID,Barcode,Result,NGType,TackTime,DefectCount,UserOKCount,WarnCount,ArrayDefectCount,ArrayUserokCount,ArrayWarnCount,ArrayGoodCount,ParticleDefect,ParticleUserOK,ParticleWarn,Squeegee,LotNo,OperatorID,LineNo,BarcodeBadmark,Vendor,JigCode,cpk_volume,cpk_area,cpk_height,cpk_offsetx,cpk_offsety,cp_volume,cp_area,cp_height,cp_offsetx,cp_offsety,usl_volume,lsl_volume,usl_area,lsl_area,usl_height,lsl_height,usl_offset,avg_volume,min_volume,max_volume,avg_area,min_area,max_area,avg_height,min_height,max_height,avg_offsetx,min_offsetx,max_offsetx,avg_offsety,min_offsety,max_offsety,Gram,sigma_volume,sigma_area,sigma_height,sigma_offsetx,sigma_offsety,mask_theta,mask_offsetx,ShrinkX,ShrinkY,Vendor_Pos,pathname,Warpage,WarpageParam,ConfirmID,ConfirmName,Comment
2023-05-31 13:57:34,26995,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,1.9681,3.581,-0.5692,-2322.4509,-2110.8405,2.17639161352134,8.03925219841703,1.30140777665415,-1161.1004834438,-1054.93869183578,175,40,300,50,150,50,25,101.0385,69.2067,121.303,105.6792,89.0706,116.091,171.867,136.187,200.464,19.62174,0.00147397,30.851,2.188357,-18.8148,26.4915,,10.33821,5.182903,12.80664,7.17351,7.895403,,,,,,,,,,,
2023-05-31 13:57:58,26996,,Good,Missing,5.0,0,,0,0,,0,20,,,,Rear,,,SMT01,,G220N0P0,,2.1257,3.4354,-0.5851,-2283.6062,-1215.4027,2.40313911024115,7.80510136904582,1.40864805032387,-1141.67762054558,-607.027670757739,175,40,300,50,150,50,25,99.70709,74.9332,126.234,105.019,89.4752,117.494,170.7683,131.718,197.692,19.50839,0.0311746,30.6818,-30.45961,-71.5806,-1.76333,,9.362754,5.338389,11.83168,7.29555,13.72123,,,,,,,,,,,
2023-05-31 13:58:22,26997,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,2.206,3.8055,-0.5752,-1888.7667,-1884.7552,2.47532227611269,8.62256509338667,1.3471456047206,-944.27896057307,-941.86643683382,175,40,300,50,150,50,25,100.1562,79.4311,121.463,105.1673,92.1368,117,171.3481,135.928,200.463,19.47568,0.169728,30.8456,-2.119194,-28.1056,25.472,,9.089725,4.832282,12.37184,8.820662,8.843256,,,,,,,,,,,
