WorkTime,BoardID,Barcode,Result,NGType,TackTime,DefectCount,UserOKCount,WarnCount,ArrayDefectCount,ArrayUserokCount,ArrayWarnCount,ArrayGoodCount,ParticleDefect,ParticleUserOK,ParticleWarn,Squeegee,LotNo,OperatorID,LineNo,BarcodeBadmark,Vendor,JigCode,cpk_volume,cpk_area,cpk_height,cpk_offsetx,cpk_offsety,cp_volume,cp_area,cp_height,cp_offsetx,cp_offsety,usl_volume,lsl_volume,usl_area,lsl_area,usl_height,lsl_height,usl_offset,avg_volume,min_volume,max_volume,avg_area,min_area,max_area,avg_height,min_height,max_height,avg_offsetx,min_offsetx,max_offsetx,avg_offsety,min_offsety,max_offsety,Gram,sigma_volume,sigma_area,sigma_height,sigma_offsetx,sigma_offsety,mask_theta,mask_offsetx,ShrinkX,ShrinkY,Vendor_Pos,pathname,Warpage,WarpageParam,ConfirmID,ConfirmName,Comment
2023-05-31 13:52:21,26987,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,1.8996,3.651,-0.5944,-1630.8435,-1809.4753,2.17167940423736,8.77366844527037,1.21149050757091,-815.34202526023,-903.933935482375,175,40,300,50,150,50,25,99.04401,72.2475,123.319,102.0158,91.9209,116.626,174.5307,135.723,205.809,20.11309,0.278301,44.7692,-19.433,-45.8894,-0.120655,,10.36065,4.749059,13.75716,10.21555,9.214353,,,,,,,,,,,
2023-05-31 13:52:32,26988,,Good,Missing,6.0,0,,0,0,,0,20,,,,Rear,,,SMT01,,G220N0P0,,2.0392,3.303,-0.6324,-2448.2211,-2152.0015,2.28038267346978,7.72401360188235,1.29147327070715,-1223.89867459004,-1075.58837027695,175,40,300,50,150,50,25,100.3602,77.7467,130.456,103.4538,90.9993,119.709,174.4848,139.955,210.728,16.34874,0.506885,30.6939,5.838667,-12.2466,29.3836,,9.866765,5.394432,12.90516,6.805438,7.743823,,,,,,,,,,,
2023-05-31 13:52:56,26989,,Good,Missing,5.0,0,,0,0,,0,20,,,,Front,,,SMT01,,G220N0P0,,1.9932,3.3464,-0.6647,-1950.4641,-1821.792,2.19661737296109,7.96377270851208,1.20358686737528,-975.119116916084,-910.082345612657,175,40,300,50,150,50,25,101.2499,73.4586,124.384,102.5255,91.396,116.724,177.6145,143.283,206.325,19.20964,0.249411,30.88,-19.68158,-45.96899,-0.1942,,10.24302,5.232026,13.8475,8.541691,9.152102,,,,,,,,,,,
2023-05-31 13:53:20,26990,,Good,Missing,5.0,0,,0,0,,0,20,,,,Rear,,,SMT01,,G220N0P0,,2.3097,3.9198,-0.6611,-2308.1286,-2258.7316,2.45846199823813,8.62383645449997,1.36607795254231,-1153.95977322636,-1129.06227753694,175,40,300,50,150,50,25,103.415,84.6138,131.181,106.8164,95.9678,119.454,174.1976,143.909,208.308,20.47412,0.207948,30.8209,11.56795,-6.47508,30.3716,,9.152063,4.83157,12.20038,7.2179,7.377065,,,,,,,,,,,
