JobName,JobVersion,PCBID,PCBBarcode,PadID,ShapeType,ShapeID,PosX,PosY,SizeX,SizeY,Rotation,ABSArea,ABSVolume,ABSHeight,PerArea,PerVolume,PerHeight,ShiftX,PerShiftX,ShiftY,PerShiftY,JudgeRes,DefectType,Check,CheckArea,AreaU,AreaL,CheckVol,VolU,VolL,CheckHeight,HeightU,HeightL,CheckOffset,ShiftXU,ShiftXUPercent,ShiftYU,ShiftYUPercent,CheckShape,ShapeDeltaU,CheckStencilHeight,StencilHeight,CheckBridge,BridgeWidth,BridgeLength,BridgeHeight,ComponentID,PackageType,PinNumber,PadGroup,ArrayID,Squeege,SqueegeID,LotNo,ArrayBarcode,LineNo,InspectTimeStamp,ComponentIDAverageHeight,PadArea,ABSShape,LaneNo,AreaResult,VolumeResult,HeightResult,AreaStandard,VolumeStandard,AreaSection
BFB-0025-B3A502757,v202305181423470001900018,26758,,347,Poly,2,91529.0,-19000.0,700.0,200.0,0,137003.0,17458300.0,127.4,99.5%,105.6%,106.2%,31.0,4.4%,8.7,4.3%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,11,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,25.5,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,348,Poly,2,91529.0,-19400.0,700.0,200.0,0,156397.0,19191300.0,122.7,113.5%,116.1%,102.3%,17.8,2.5%,7.7,3.8%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,12,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,24.5,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,349,Poly,1,95142.0,-26080.0,350.0,300.0,0,86293.6,11144100.0,129.1,89.6%,96.5%,107.6%,25.3,7.2%,26.6,8.9%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,13,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,25.8,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,350,Poly,1,95742.0,-26080.0,350.0,300.0,0,84852.3,11860300.0,139.8,88.1%,102.6%,116.5%,22.4,6.4%,21.2,7.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,14,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,28.0,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,351,Poly,5,93979.0,-25930.0,500.0,800.0,90,396049.0,57307400.0,144.7,101.2%,122.1%,120.6%,34.2,6.8%,8.0,1.0%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,15,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,28.9,1,Good,Good,Good,391199.9,46943990.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,353,Poly,2,94129.0,-19400.0,700.0,200.0,0,137126.0,17256200.0,125.8,99.5%,104.4%,104.9%,33.7,4.8%,13.7,6.9%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,17,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,25.2,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,354,Poly,2,94129.0,-19000.0,700.0,200.0,0,126543.0,16829800.0,133.0,91.9%,101.8%,110.8%,7.4,1.1%,11.0,5.5%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,18,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,26.6,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,355,Poly,2,94129.0,-18600.0,700.0,200.0,0,129276.0,15634100.0,120.9,93.8%,94.6%,100.8%,27.5,3.9%,12.6,6.3%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,19,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,24.2,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,358,Poly,5,92479.0,-25930.0,500.0,800.0,90,396439.0,56009300.0,141.3,101.3%,119.3%,117.7%,40.4,8.1%,9.1,1.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,22,1805,14,Front,,,,SMT01,2023-05-23 10:08:21,130.6,0.0,28.3,1,Good,Good,Good,391199.9,46943990.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,365,Poly,2,112129.0,-18200.0,700.0,200.0,0,131165.0,16503500.0,125.8,95.2%,99.8%,104.9%,28.3,4.0%,13.5,6.8%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,5,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,25.2,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,366,Poly,2,109529.0,-18200.0,700.0,200.0,0,125860.0,16184500.0,128.6,91.4%,97.9%,107.2%,15.1,2.2%,17.5,8.8%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,6,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,25.7,1,Good,Good,Good,137760.0,16531200.0,0.0
